STATION,CBPSEG,cbpseg_st,LATITUDE,LONGITUDE,SUM,MEAN,COUNT,DistanceToNearestKm,Cell_ID
03J01,JMSPH,JMSPH_VA,36.975,-76.3361,1.878,0.040826087,46,721.2521964,727
03J02,JMSPH,JMSPH_VA,37.0022,-76.3594,0.134,0.00536,25,830.7350086,724
03J04,JMSMH,JMSMH_VA,36.9625,-76.4217,0.341,0.00682,50,891.2733325,555
03J05,JMSMH,JMSMH_VA,36.9361,-76.4239,0.033,0.002357143,14,1745.915692,556
03J06,JMSMH,JMSMH_VA,36.9786,-76.4431,0.093,0.002735294,34,1317.680257,552
03J07,JMSMH,JMSMH_VA,36.9531,-76.4442,0.054,0.0045,12,1221.116822,554
03J08,JMSMH,JMSMH_VA,36.9592,-76.4658,0.027,0.002454545,11,1664.033259,552
03J09,JMSMH,JMSMH_VA,36.9353,-76.4797,0.036,0.0036,10,948.0141079,469
03J11,JMSMH,JMSMH_VA,36.9889,-76.5181,0.029,0.002230769,13,1459.84069,547
03J12,JMSMH,JMSMH_VA,37.0511,-76.5431,0.136,0.009714286,14,107.191255,626
03J14,JMSMH,JMSMH_VA,37.075,-76.6333,0.138,0.0092,15,1049.261826,536
03J15,JMSMH,JMSMH_VA,37.1239,-76.6333,0.053,0.004818182,11,408.0355718,701
03J16,JMSOH,JMSOH_VA,37.1939,-76.645,0.02,0.002,10,723.9708739,1033
03J18,JMSOH,JMSOH_VA,37.1689,-76.7228,0.012,0.0024,5,1082.940243,694
03J19,JMSOH,JMSOH_VA,37.1867,-76.7256,0.018,0.0018,10,696.2358833,777
03J21,JMSOH,JMSOH_VA,37.1928,-76.7389,0.494,0.041166667,12,710.3282293,776
03J22,JMSOH,JMSOH_VA,37.2267,-76.8286,1.902,0.211333333,9,1046.535421,771
03J24,JMSOH,JMSOH_VA,37.2217,-76.8792,0.074,0.005285714,14,797.8555269,685
03J25,JMSTF,JMSTF_NATL,37.25,-76.9753,0.09,0.006923077,13,2257.96652,597
03J26,JMSTF,JMSTF_NATL,37.2981,-77.0839,0.113,0.009416667,12,13144.12888,597
03J27,JMSTF,JMSTF_NATL,37.3058,-77.09,0.03,0.003,10,14066.02826,597
03M01,CB8PH,CB8PH_VA,36.9339,-76.1375,0.043,0.001264706,34,1225.320841,823
03M02,CB8PH,CB8PH_VA,36.9567,-76.1539,0.292,0.0073,40,987.3187976,905
03M03,CB8PH,CB8PH_VA,36.9881,-76.1867,0.115,0.002804878,41,1119.669906,903
03M05,CB7PH,CB7PH_VA,37.19,-76.0719,0.516,0.014333333,36,1051.019299,1995
03M06,CB6PH,CB6PH_VA,37.1958,-76.1856,0.461,0.010477273,44,1475.55117,1903
03M07,CB7PH,CB7PH_VA,37.2361,-76.1092,0.156,0.0039,40,1388.321901,2076
03M09,CB6PH,CB6PH_VA,37.3681,-76.2033,0.076,0.004470588,17,1240.813024,2317
03M10,CB7PH,CB7PH_VA,37.3711,-76.0925,0.089,0.002870968,31,1150.683967,2410
03M11,CB7PH,CB7PH_VA,37.4178,-76.1358,0.119,0.00425,28,1214.324065,2490
03M12,CB7PH,CB7PH_VA,37.4428,-76.0356,0.304,0.00608,50,2124.627551,2582
03M13,CB6PH,CB6PH_VA,37.4436,-76.155,0.12,0.0048,25,1394.025229,2488
03M14,CB7PH,CB7PH_VA,37.4936,-76.1261,0.092,0.003538462,26,1754.376708,2658
03M15,CB7PH,CB7PH_VA,37.5339,-76.0686,0.037,0.001681818,22,1325.732551,2747
03M17,CB7PH,CB7PH_VA,37.5564,-76.1294,0.1,0.004761905,21,982.9638691,2742
03M18,CB6PH,CB6PH_VA,37.6169,-76.2411,0.083,0.004611111,18,226.1324565,2900
03M19,CB6PH,CB6PH_VA,37.6442,-76.145,0.091,0.004136364,22,368.7764373,2993
03M20,CB6PH,CB6PH_VA,37.645,-76.1906,0.069,0.003285714,21,336.0872606,2989
03M21,CB7PH,CB7PH_VA,37.6644,-76.0892,0.047,0.003133333,15,1284.366704,3082
03M22,CB5MH,CB5MH_VA,37.6689,-76.22,0.027,0.002076923,13,390.0048905,3070
03M23,CB7PH,CB7PH_VA,37.7069,-76.1144,0.066,0.003142857,21,844.8946881,3164
03M24,CB5MH,CB5MH_VA,37.7897,-76.1811,0.014,0.001272727,11,343.9733617,3580
03M25,CB5MH,CB5MH_VA,37.8336,-76.2378,0.037,0.004625,8,276.8550426,3827
03M27,CB5MH,CB5MH_VA,37.8564,-76.1533,0.035,0.00175,20,385.1215855,3920
03M28,CB5MH,CB5MH_VA,37.8406,-76.1117,0.089,0.003178571,28,968.1518039,3840
03M29,CB5MH,CB5MH_VA,37.85,-76.1022,0.033,0.001833333,18,505.7623255,3841
03R01,RPPMH,RPPMH_VA,37.5997,-76.4022,0.01,0.001,10,837.8946557,2804
03R02,RPPMH,RPPMH_VA,37.6092,-76.4031,0.028,0.001866667,15,1295.225768,2888
03R04,RPPMH,RPPMH_VA,37.6425,-76.4406,0.017,0.0017,10,453.5930404,2969
03R06,RPPMH,RPPMH_VA,37.6197,-76.4872,0.455,0.0284375,16,702.6733809,2881
03R08,RPPMH,RPPMH_VA,37.6531,-76.5231,0.053,0.003117647,17,629.8296987,2963
03R09,RPPMH,RPPMH_VA,37.6419,-76.5392,0.002,0.001,2,723.8063595,2962
