"STATION","CBPSEG","cbpseg_st","LATITUDE","LONGITUDE","SUM","MEAN","COUNT","CellID","DistanceToNearestKm","Replacement"
"03J01","JMSPH","JMSPH_VA",36.975,-76.3361,1.878,0.0408260869565217,46,NA,721.252196385801,727
"03J02","JMSPH","JMSPH_VA",37.0022,-76.3594,0.134,0.00536,25,NA,830.735008590167,724
"03J04","JMSMH","JMSMH_VA",36.9625,-76.4217,0.341,0.00682,50,NA,891.273332501145,555
"03J05","JMSMH","JMSMH_VA",36.9361,-76.4239,0.033,0.00235714285714286,14,NA,1745.9156921566,556
"03J06","JMSMH","JMSMH_VA",36.9786,-76.4431,0.093,0.00273529411764706,34,NA,1317.68025689159,552
"03J07","JMSMH","JMSMH_VA",36.9531,-76.4442,0.054,0.0045,12,NA,1221.11682192179,554
"03J08","JMSMH","JMSMH_VA",36.9592,-76.4658,0.027,0.00245454545454545,11,NA,1664.03325878486,552
"03J09","JMSMH","JMSMH_VA",36.9353,-76.4797,0.036,0.0036,10,NA,948.014107900247,469
"03J11","JMSMH","JMSMH_VA",36.9889,-76.5181,0.029,0.00223076923076923,13,NA,1459.84069035757,547
"03J12","JMSMH","JMSMH_VA",37.0511,-76.5431,0.136,0.00971428571428572,14,NA,107.191255044985,626
"03J14","JMSMH","JMSMH_VA",37.075,-76.6333,0.138,0.0092,15,NA,1049.26182617494,536
"03J15","JMSMH","JMSMH_VA",37.1239,-76.6333,0.053,0.00481818181818182,11,NA,408.035571794976,701
"03J16","JMSOH","JMSOH_VA",37.1939,-76.645,0.02,0.002,10,NA,723.970873859087,1033
"03J18","JMSOH","JMSOH_VA",37.1689,-76.7228,0.012,0.0024,5,NA,1082.94024262468,694
"03J19","JMSOH","JMSOH_VA",37.1867,-76.7256,0.018,0.0018,10,NA,696.235883337673,777
"03J21","JMSOH","JMSOH_VA",37.1928,-76.7389,0.494,0.0411666666666667,12,NA,710.328229345043,776
"03J22","JMSOH","JMSOH_VA",37.2267,-76.8286,1.902,0.211333333333333,9,NA,1046.53542093145,771
"03J24","JMSOH","JMSOH_VA",37.2217,-76.8792,0.074,0.00528571428571429,14,NA,797.855526889054,685
"03J25","JMSTF","JMSTF_NATL",37.25,-76.9753,0.09,0.00692307692307692,13,NA,2257.96652026195,597
