STATION,CBPSEG,cbpseg_st,LATITUDE,LONGITUDE,SUM,MEAN,COUNT
03J01,JMSPH,JMSPH_VA,36.975,-76.3361,1.8780000000000001,0.04082608695652174,46
03J02,JMSPH,JMSPH_VA,37.0022,-76.35939999999998,0.134,0.00536,25
03J04,JMSMH,JMSMH_VA,36.9625,-76.4217,0.341,0.0068200000000000005,50
03J05,JMSMH,JMSMH_VA,36.9361,-76.4239,0.033,0.002357142857142857,14
03J06,JMSMH,JMSMH_VA,36.9786,-76.4431,0.093,0.002735294117647059,34
03J07,JMSMH,JMSMH_VA,36.9531,-76.44419999999998,0.054000000000000006,0.0045000000000000005,12
03J08,JMSMH,JMSMH_VA,36.9592,-76.4658,0.027,0.0024545454545454545,11
03J09,JMSMH,JMSMH_VA,36.9353,-76.47969999999998,0.036,0.0036,10
03J11,JMSMH,JMSMH_VA,36.9889,-76.5181,0.029,0.002230769230769231,13
03J12,JMSMH,JMSMH_VA,37.0511,-76.54309999999998,0.136,0.009714285714285715,14
03J14,JMSMH,JMSMH_VA,37.075,-76.6333,0.138,0.009200000000000002,15
03J15,JMSMH,JMSMH_VA,37.1239,-76.6333,0.053,0.004818181818181818,11
03J16,JMSOH,JMSOH_VA,37.1939,-76.64499999999998,0.02,0.002,10
03J18,JMSOH,JMSOH_VA,37.1689,-76.7228,0.012,0.0024000000000000002,5
03J19,JMSOH,JMSOH_VA,37.1867,-76.7256,0.018000000000000002,0.0018000000000000002,10
03J21,JMSOH,JMSOH_VA,37.1928,-76.7389,0.494,0.041166666666666664,12
03J22,JMSOH,JMSOH_VA,37.2267,-76.82859999999998,1.902,0.21133333333333332,9
03J24,JMSOH,JMSOH_VA,37.2217,-76.87919999999998,0.074,0.005285714285714285,14
03J25,JMSTF,JMSTF_NATL,37.25,-76.9753,0.09,0.006923076923076922,13
03J26,JMSTF,JMSTF_NATL,37.2981,-77.0839,0.113,0.009416666666666667,12
03J27,JMSTF,JMSTF_NATL,37.3058,-77.09,0.03,0.003,10
03M01,CB8PH,CB8PH_VA,36.9339,-76.1375,0.043000000000000003,0.0012647058823529412,34
03M02,CB8PH,CB8PH_VA,36.9567,-76.15389999999998,0.292,0.007299999999999999,40
03M03,CB8PH,CB8PH_VA,36.9881,-76.1867,0.115,0.002804878048780488,41
03M05,CB7PH,CB7PH_VA,37.19,-76.0719,0.516,0.014333333333333333,36
03M06,CB6PH,CB6PH_VA,37.1958,-76.18559999999998,0.461,0.010477272727272727,44
03M07,CB7PH,CB7PH_VA,37.2361,-76.1092,0.156,0.0039,40
03M09,CB6PH,CB6PH_VA,37.3681,-76.2033,0.076,0.004470588235294118,17
03M10,CB7PH,CB7PH_VA,37.3711,-76.0925,0.089,0.002870967741935484,31
03M11,CB7PH,CB7PH_VA,37.4178,-76.1358,0.11900000000000001,0.00425,28
03M12,CB7PH,CB7PH_VA,37.4428,-76.0356,0.304,0.0060799999999999995,50
03M13,CB6PH,CB6PH_VA,37.4436,-76.155,0.12000000000000001,0.0048000000000000004,25
03M14,CB7PH,CB7PH_VA,37.4936,-76.12609999999998,0.092,0.0035384615384615385,26
03M15,CB7PH,CB7PH_VA,37.5339,-76.0686,0.037000000000000005,0.0016818181818181821,22
03M17,CB7PH,CB7PH_VA,37.5564,-76.1294,0.1,0.004761904761904762,21
03M18,CB6PH,CB6PH_VA,37.6169,-76.2411,0.083,0.004611111111111111,18
03M19,CB6PH,CB6PH_VA,37.6442,-76.14499999999998,0.091,0.004136363636363636,22
03M20,CB6PH,CB6PH_VA,37.645,-76.1906,0.069,0.003285714285714286,21
03M21,CB7PH,CB7PH_VA,37.6644,-76.0892,0.047,0.0031333333333333335,15
03M22,CB5MH,CB5MH_VA,37.6689,-76.22,0.027,0.002076923076923077,13
03M23,CB7PH,CB7PH_VA,37.7069,-76.1144,0.066,0.003142857142857143,21
03M24,CB5MH,CB5MH_VA,37.7897,-76.1811,0.014,0.0012727272727272728,11
03M25,CB5MH,CB5MH_VA,37.8336,-76.23779999999998,0.037,0.004625,8
03M27,CB5MH,CB5MH_VA,37.8564,-76.1533,0.035,0.0017500000000000003,20
03M28,CB5MH,CB5MH_VA,37.8406,-76.1117,0.089,0.0031785714285714286,28
03M29,CB5MH,CB5MH_VA,37.85,-76.10219999999998,0.033,0.0018333333333333335,18
03R01,RPPMH,RPPMH_VA,37.5997,-76.40219999999998,0.01,0.001,10
03R02,RPPMH,RPPMH_VA,37.6092,-76.40309999999998,0.028,0.0018666666666666666,15
03R04,RPPMH,RPPMH_VA,37.6425,-76.4406,0.017,0.0017000000000000001,10
03R06,RPPMH,RPPMH_VA,37.6197,-76.4872,0.45500000000000007,0.028437500000000004,16
