LBL,Aggregate_grp,Aggregate_grp2,Func_grp,General_grouping,Family,Order,Class ,TSN,NODC_CODE
ablabesmyia mallochi,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta,,
Ablabesmyia parajanta,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta,128112,
Ablabesmyia spp.,insect,chironomid,insect,chironomid,Chironomidae,Diptera          ,Insecta,#N/A,
Abra aequalis,other_bivalves,Small_bivalve,bivalves,bivalve,Semelidae,Cardiida            ,Bivalvia         ,81302,
acanthohaustorius intermedius,amphipods,amphipods,small_crust,amphipods_isopods,Haustoriidae ,Amphipoda,Malacostraca,,
acanthohaustorius millsi,amphipods,amphipods,small_crust,amphipods_isopods,Haustoriidae ,Amphipoda,Malacostraca,,
acentria ephemerella,insect,insect,insect,insect,Crambidae,Lepidoptera,Insecta,,
Acteocina canaliculata,gastropod,gastropod,Gastropods,gastropod,Acteocinidae,Cephalaspidea,Gastropoda,76117,
Aegathoa medialis,isopods,isopods,small_crust,amphipods_isopods,Cymothoidae  ,Isopoda         ,Malacostraca,92440,
Aeshna spp.,insect,insect,insect,insect,Aeshnidae,odonata     ,Insecta,#N/A,
Aglaophamus verrilli,polychaete,polychaete,worms,polychaete,Nephtyidae        ,Phyllodocida,Polychaeta,66052,
agraylea spp.,insect,insect,insect,insect,Hydroptillidae ,Trichoptera,Insecta       ,,
Aligena elevata,other_bivalves,Small_bivalve,bivalves,bivalve,Lasaeidae    ,veneroida  ,Bivalvia         ,80685,
Almyracuma proximoculi,cumacean,small_crust,small_crust,cumacean,Nannastacidae,Cumacea,Malacostraca,90979,
Alpheus heterochaelis,decapod_shrimp,large_decapod,decapod_shrimp,decapod_shrimp,Alpheidae ,Decapoda ,Malacostraca,96602,
Amastigos caperatus,polychaete,polychaete,worms,polychaete,Capitellidae,Scolecida,Polychaeta,#N/A,
Americamysis almyra,mysids,small_crust,small_crust,mysid,Mysidae  ,Mysida        ,Malacostraca,#N/A,
Americamysis bigelowi,mysids,small_crust,small_crust,mysid,Mysidae  ,Mysida        ,Malacostraca,#N/A,
Americamysis spp.,mysids,small_crust,small_crust,mysid,Mysidae  ,Mysida        ,Malacostraca,#N/A,
americhelidium americanum,amphipods,amphipods,small_crust,amphipods_isopods,Oedicerotidae,Amphipoda,Malacostraca,,
Ameroculodes species co,amphipods,amphipods,small_crust,amphipods_isopods,Oedicerotidae,Amphipoda,Malacostraca,#N/A,
ameroculodes species complex,amphipods,amphipods,small_crust,amphipods_isopods,Oedicerotidae,Amphipoda,Malacostraca,#N/A,
Amnicola limosa,gastropod,gastropod,Gastropods,gastropod,Amnicolidae,Cephalaspidea,Gastropoda,70748,
amnicola spp.,gastropod,gastropod,Gastropods,gastropod,Amnicolidae,Cephalaspidea,Gastropoda,,
Ampelisca abdita,amphipods,amphipods,small_crust,amphipods_isopods,Ampeliscidae,Amphipoda,Malacostraca,93329,
Ampelisca spp.,amphipods,amphipods,small_crust,amphipods_isopods,Ampeliscidae,Amphipoda,Malacostraca,#N/A,
ampelisca vadorum,amphipods,amphipods,small_crust,amphipods_isopods,Ampeliscidae,Amphipoda,Malacostraca,,
Ampelisca verrilli,amphipods,amphipods,small_crust,amphipods_isopods,Ampeliscidae,Amphipoda,Malacostraca,93331,
Ampharete acutifrons,polychaete,polychaete,worms,polychaete,Ampharetidae,Terebellida,Polychaeta,67735,
ampharetidae,polychaete,polychaete,worms,polychaete,Ampharetidae,Terebellida,Polychaeta,,
amphipoda,amphipods,amphipods,small_crust,amphipods_isopods,.,Amphipoda,Malacostraca,,
Amphiporus bioculatus,nemertean,nemertean,worms,nemertean,Amphiporidae,Monostilifera,Enopla              ,57533,
ampithoe longimana,amphipods,amphipods,small_crust,amphipods_isopods,Ampithoidae,Amphipoda,Malacostraca,,
Ampithoe valida,amphipods,amphipods,small_crust,amphipods_isopods,Ampithoidae,Amphipoda,Malacostraca,93424,
ampithoidae,amphipods,amphipods,small_crust,amphipods_isopods,Ampithoidae,Amphipoda,Malacostraca,,
amygdalum papyrium,other_bivalves,Small_bivalve,bivalves,bivalve,Mytillidae   ,Mytilida     ,Bivalvia         ,,
