"LBL","Aggregate_grp","Aggregate_grp2","Func_grp","General_grouping","Family","Order","Class","TSN","NODC_CODE"
"ablabesmyia mallochi",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"ablabesmyia parajanta",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta","128112",NA
"ablabesmyia spp.",NA,"chironomid","insect","insect","Chironomidae","Diptera","Insecta",NA,NA
"abra aequalis","other_bivalves","Small_bivalve","bivalves","bivalve","Semelidae","Cardiida","Bivalvia","81302",NA
"acanthohaustorius intermedius","amphipods_isopods","amphipods","small_crust","amphipod","Haustoriidae ","Amphipoda","Malacostraca",NA,NA
"acanthohaustorius millsi","amphipods_isopods","amphipods","small_crust","amphipod","Haustoriidae ","Amphipoda","Malacostraca",NA,NA
"acentria ephemerella",NA,"insect","insect","insect","Crambidae","Lepidoptera","Insecta",NA,NA
"acteocina canaliculata",NA,"gastropod","Gastropods","gastropod","Acteocinidae","Cephalaspidea","Gastropoda","76117",NA
"aegathoa medialis","amphipods_isopods","isopods","small_crust","isopod","Cymothoidae","Isopoda","Malacostraca","92440",NA
"aeshna spp.",NA,NA,"insect","insect","Aeshnidae","odonata","Insecta",NA,NA
"aglaophamus verrilli","polychaete","polychaete","worms","polychaete","Nephtyidae","Phyllodocida","Polychaeta","66052",NA
"agraylea spp.",NA,"insect","insect","insect","Hydroptillidae","Trichoptera","Insecta",NA,NA
"aligena elevata","other_bivalves","Small_bivalve","bivalves","bivalve","Lasaeidae","veneroida","Bivalvia","80685",NA
"almyracuma proximoculi",NA,"small_crust","small_crust","cumacean","Nannastacidae","Cumacea","Malacostraca","90979",NA
"alpheus heterochaelis",NA,"large_decapod","decapod_shrimp","decapod_shrimp","Alpheidae","Decapoda","Malacostraca","96602",NA
"amastigos caperatus","polychaete","polychaete","worms","polychaete","Capitellidae","Scolecida","Polychaeta",NA,NA
"americamysis almyra","mysids","small_crust","small_crust","mysid","Mysidae","Mysida","Malacostraca",NA,NA
"americamysis bigelowi","mysids","small_crust","small_crust","mysid","Mysidae","Mysida","Malacostraca",NA,NA
"americamysis spp.","mysids","small_crust","small_crust","mysid","Mysidae","Mysida","Malacostraca",NA,NA
"americhelidium americanum","amphipods_isopods","amphipods","small_crust","amphipod","Oedicerotidae","Amphipoda","Malacostraca",NA,NA
"ameroculodes species co","amphipods_isopods","amphipods","small_crust","amphipod","Oedicerotidae","Amphipoda","Malacostraca",NA,NA
"ameroculodes species complex","amphipods_isopods","amphipods","small_crust","amphipod","Oedicerotidae","Amphipoda","Malacostraca",NA,NA
"amnicola limosa",NA,"gastropod","Gastropods","gastropod","Amnicolidae","Cephalaspidea","Gastropoda","70748",NA
"amnicola spp.",NA,"gastropod","Gastropods","gastropod","Amnicolidae","Cephalaspidea","Gastropoda",NA,NA
"ampelisca abdita","amphipods_isopods","amphipods","small_crust","amphipod","Ampeliscidae","Amphipoda","Malacostraca","93329",NA
"ampelisca spp.","amphipods_isopods","amphipods","small_crust","amphipod","Ampeliscidae","Amphipoda","Malacostraca",NA,NA
"ampelisca vadorum","amphipods_isopods","amphipods","small_crust","amphipod","Ampeliscidae","Amphipoda","Malacostraca",NA,NA
"ampelisca verrilli","amphipods_isopods","amphipods","small_crust","amphipod","Ampeliscidae","Amphipoda","Malacostraca","93331",NA
"ampharete acutifrons","polychaete","polychaete","worms","polychaete","Ampharetidae","Terebellida","Polychaeta","67735",NA
"ampharetidae","polychaete","polychaete","worms","polychaete","Ampharetidae","Terebellida","Polychaeta",NA,NA
"amphipoda","amphipods_isopods","amphipods","small_crust","amphipod",NA,"Amphipoda","Malacostraca",NA,NA
"amphiporus bioculatus",NA,NA,"worms","worm_nemertean","Amphiporidae","Monostilifera","Enopla","57533",NA
"ampithoe longimana","amphipods_isopods","amphipods","small_crust","amphipod","Ampithoidae","Amphipoda","Malacostraca",NA,NA
"ampithoe valida","amphipods_isopods","amphipods","small_crust","amphipod","Ampithoidae","Amphipoda","Malacostraca","93424",NA
"ampithoidae","amphipods_isopods","amphipods","small_crust","amphipod","Ampithoidae","Amphipoda","Malacostraca",NA,NA
