SAMPLE_DATE,SUM,MEAN,COUNT
8/28/1995,1.7035,0.031546296,54
8/29/1995,26.6643,0.186463636,143
8/30/1995,0.9245,0.003742915,247
8/31/1995,1.7335,0.007773543,223
9/1/1995,0.19725,0.004109375,48
9/5/1995,1.13615,0.009710684,117
9/6/1995,48.07215,0.184892885,260
9/7/1995,6.09315,0.047977559,127
9/8/1995,9.91075,0.040784979,243
8/6/1996,0.567,0.017181818,33
8/8/1996,2.096,0.041098039,51
8/12/1996,1.079,0.00586413,184
8/13/1996,0.847,0.003035842,279
8/14/1996,2.899,0.011881148,244
8/29/1996,0.045,0.001956522,23
9/3/1996,0.2359,0.003867213,61
9/4/1996,1.1756,0.006354595,185
9/5/1996,3.5153,0.013265283,265
9/9/1996,4.7205,0.025795082,183
9/10/1996,2.5068,0.017169863,146
9/11/1996,0.01745,0.001090625,16
9/12/1996,1.96795,0.040998958,48
9/13/1996,0.4892,0.007194118,68
9/14/1996,0.22295,0.018579167,12
9/15/1996,0.1089,0.0099,11
9/16/1996,0.47925,0.00639,75
9/17/1996,0.41385,0.006176866,67
9/18/1996,0.2645,0.007347222,36
9/21/1996,1.8738,0.06246,30
9/23/1996,0.315,0.0045,70
9/24/1996,0.296,0.003217391,92
9/25/1996,22.82439,0.067130559,340
9/26/1996,2.31585,0.006892411,336
8/4/1997,1.575,0.0075,210
8/11/1997,0.49,0.001899225,258
8/12/1997,0.131,0.002183333,60
8/21/1997,1.815,0.046538462,39
8/25/1997,1.04035,0.004048054,257
8/26/1997,2.16023,0.007322814,295
8/27/1997,20.24595,0.289227857,70
8/28/1997,0.67585,0.004446382,152
8/29/1997,7.73575,0.773575,10
9/2/1997,2.1339,0.019052679,112
9/3/1997,6.3257,0.043326712,146
9/4/1997,1.18955,0.01279086,93
9/5/1997,1.4389,0.011604032,124
9/8/1997,0.2911,0.004344776,67
9/9/1997,0.305,0.006777778,45
9/12/1997,0.22245,0.006542647,34
9/15/1997,0.13,0.001733333,75
9/16/1997,0.2773,0.002432456,114
