"STATION","Stratum","SAMPLE_DATE","Year","LATITUDE","LONGITUDE","Depth","Depth_cell","Distance_km","CellID"
"03J01","JAM","1996-08-14",1996,36.975,-76.3361,17,11,0.721252196385801,727
"03J02","JAM","1996-08-14",1996,37.0022,-76.3594,4,2.88193106651306,0.830735008588401,724
"03J04","JAM","1996-08-14",1996,36.9625,-76.4217,8,8,0.891273332501144,555
"03J05","JAM","1996-08-14",1996,36.9361,-76.4239,5,8.11779117584229,1.7459156921566,556
"03J06","JAM","1996-08-14",1996,36.9786,-76.4431,19,3.77410078048706,1.31768025689159,552
"03J07","JAM","1996-08-14",1996,36.9531,-76.4442,4,7,1.2211168219225,554
"03J08","JAM","1996-08-14",1996,36.9592,-76.4658,3,3.77410078048706,1.66403325878486,552
"03J09","JAM","1996-08-14",1996,36.9353,-76.4797,2,2.79999995231628,0.948014107901307,469
"03J11","JAM","1996-08-14",1996,36.9889,-76.5181,2,2.58810210227966,1.45984069035757,547
"03J12","JAM","1996-08-14",1996,37.0511,-76.5431,4,2.78245115280151,0.107191255043219,626
"03J14","JAM","1996-08-14",1996,37.075,-76.6333,2,2.69776082038879,1.04926182617494,536
"03J15","JAM","1996-08-06",1996,37.1239,-76.6333,1,3.57846617698669,0.408035571794976,701
"03J16","JAM","1996-08-06",1996,37.1939,-76.645,4,4.75601816177368,0.723970873859441,1033
"03J18","JAM","1996-08-08",1996,37.1689,-76.7228,2,2.5,1.08294024262468,694
"03J19","JAM","1996-08-08",1996,37.1867,-76.7256,3,3.12030291557312,0.696235883337673,777
"03J20","JAM","1996-08-06",1996,37.2025,-76.7369,3,2.87478137016296,0.832339899733142,860
"03J21","JAM","1996-08-06",1996,37.1928,-76.7389,4,3.58308362960815,0.710328229345043,776
"03J22","JAM","1996-08-08",1996,37.2267,-76.8286,3,5,1.0465354209318,771
"03J24","JAM","1996-08-08",1996,37.2217,-76.8792,4,4.02058410644531,0.797855526890466,685
"03J25","JAM","1996-08-08",1996,37.25,-76.9753,3,2.5,2.25796652026195,597
"03M01","VBY","1996-09-26",1996,36.9339,-76.1375,9,4,1.22532084087053,823
"03M02","VBY","1996-09-26",1996,36.9567,-76.1539,7,7.38935375213623,0.987318797564919,905
"03M03","VBY","1996-09-26",1996,36.9881,-76.1867,9,7.75017929077148,1.11966990608115,903
"03M05","VBY","1996-09-26",1996,37.19,-76.0719,9,9.19159889221191,1.05101929922784,1995
"03M06","VBY","1996-09-26",1996,37.1958,-76.1856,10,9.61176013946533,1.47555117037646,1903
"03M07","VBY","1996-09-26",1996,37.2361,-76.1092,13,12.1643762588501,1.38832190092131,2076
