,              Family,Count
0, Leptoceridae         ,5
1,.,20
2,.              ,1
3,.                      ,1
4,.                        ,1
5,.                          ,1
6,.                            ,1
7,.                               ,1
8,Acteocinidae,2
9,Aeshnidae,1
10,Alpheidae ,2
11,Ammotheidae,1
12,Amnicolidae,2
13,Ampeliscidae,4
14,Ampharetidae,5
15,Amphilochidae,1
16,Amphinomidae,2
17,Amphiporidae,1
18,Amphiuridae,1
19,Ampithoidae,4
20,Ancinidae,1
21,Ancylidae,2
22,Anomiidae,1
23,Anthuridae      ,3
24,Anthuridae       ,1
25,Aoridae     ,3
26,Arabellidae,1
27,Arbaciidae,1
28,Arcidae        ,2
29,Asellidae,1
30,Baetidae,2
31,Balanidae      ,2
32,Barentsiidae,1
33,Bateidea      ,1
34,Bathyporeiidae,1
35,Bodotriidae,3
36,Branchiostomatidae,1
37,Buccinidae,3
38,Caecidae,1
39,Caenidae,1
40,Callianassidae ,2
41,Calyptraeidae,3
42,Capitellidae,12
43,Caprellidae,3
44,Carinomidae  ,1
45,Ceratopogonidae,3
46,Ceratopogonidae          ,1
47,Ceratopogonidae         Diptera,1
48,Cerianthidae,2
49,Cerithiopsidae,2
50,Chaetilidae        ,5
51,Chaetopteridae,5
52,Chaoboridae,3
53,Chironomidae,40
54,Chironomidae    ,1
55,Chironomidae      ,3
56,Chironomidae        ,1
57,Chironomidae         ,1
58,Chironomidae          ,13
59,Chironomidea,1
60,Chironominae,1
61,Chrysopetalidae,1
62,Cirratulidae,7
63,Coenagriionidae,1
64,Coenagrionoidea,1
65,Columbellidae,3
66,Corambidae,1
67,Corophiidae,8
68,Corophioidea,4
69,Cossuridae,1
70,Crambidae,1
71,Crangonidae,1
72,Crangonyctidae,1
73,Cucumariidae,1
74,Curculionidae,1
75,Cylichnidae,1
76,Cymothoidae  ,1
77,Cyrenidae,1
78,Cyrenoidae,1
79,Diadumenidae,1
80,Diastylidae,2
81,Donacidae,1
82,Dorvilleidae,1
83,Dreissenidae,1
84,Dugesiidae,3
85,Dytiscidae,2
86,Echiuridae,1
87,Edwardsiidae,1
88,Elmidae       ,2
89,Elmidae              ,2
90,Elmidae               ,1
91,Empididae,1
92,Enchytraeidae,1
93,Ephemeidae       ,2
94,Epitoniidae,3
95,Eunicidae,3
96,Euplanidae,1
97,Fabriciidae,1
98,Facelinidae,1
99,Gammaridae,7
100,Glyceridae,7
101,Gomphidae,1
102,Gomphidae       ,2
103,Goniadidae,1
104,Haloclavidae,1
105,Haminoeidae,1
106,Harrimaniidae,2
107,Haustoriidae,5
108,HaustoriidaeÂ ,2
109,Hesionidae,9
110,Hutchinsoniella ,2
111,Hyalellidae,1
112,Hydrachnellae,1
113,Hydrobiidae,4
114,Hydroptillidae ,4
115,Idoteidae   ,6
116,Idoteidae     ,3
117,Isaeidae      ,1
118,Ischyroceridae,4
119,Lasaeidae    ,1
120,Leptoceridae,2
121,Leptocheliidae,4
122,Leuconidae,1
123,Leucothoidae,1
124,Liljeborgiidae,5
125,Limulidae,1
126,Lineidae,1
127,Lucinidae  ,1
128,Lumbriculidae,1
129,Lumbrineridae,3
130,Lymnaeidae,1
131,Lyonsiidae   ,1
132,Mactridae  ,3
133,Maeridae  ,1
134,Magelonidae,1
135,Maldanidae,4
136,Mangeliidae,3
137,Marginellidae,1
138,Melitidae ,4
139,Mogulidae,2
140,Montacutidae,1
141,Muricidae,1
142,Myidae       ,1
143,Mysidae  ,5
144,Mytilidae   ,2
145,Mytilidae             ,1
146,Mytillidae   ,4
147,Naididae     ,33
148,Nannastacidae,1
149,Nassaridae,3
150,Nassariidae,1
151,Naticidae,3
152,Nephtyidae        ,6
153,Nereididae,9
154,Nuculanidae ,2
155,Nuculidae  ,1
156,Oedicerotidae,3
157,Oenonidae,5
158,Ogyrididae ,1
159,Onchidorididae,1
160,Onuphidae,2
161,Opheliidae,1
162,Orbiniidae,6
163,Ostreidae,1
164,Ovalipidae,1
165,Oweniidae,1
166,Paguridae,5
167,Palaemonidae,3
168,Pandoridae,2
169,Panopeidae,7
170,Paraonidae,12
171,Pasiphaeidae,1
172,Pectinariidae,2
173,Penaeidae,1
174,Perplomatidae ,1
175,Petricolidae,1
176,Pharidae     ,2
177,Pholadidae,2
178,Pholoidae,3
179,Phoronidae,1
180,Photidae   ,3
181,Phoxocephallidae,2
182,Phyllodocidae,8
183,Phyllophoridae,1
184,Physidae,2
185,Pilargidae,14
186,Pinnotheridae,5
187,Planorbidae,5
188,Planorboidea,1
189,Pleuroceridae,2
190,Pleustidae,2
191,Plexauridae,1
192,Polycentropodidae,3
193,Polygordiidae,1
194,Polynoidae,9
195,Porcellanidae,2
196,Portunidae,1
197,Protodrilidae,1
198,Ptychoderidae,2
199,Pyramidellidae,7
200,Sabellaridae,2
201,Sabellidae,1
202,Scalibregmatidae,1
203,Semelidae,2
204,Serpulidae,2
205,Sialidae,1
206,Sigalionidae,3
207,Skeneopsidae,1
208,Solecurtidae,2
209,Solemyidae,1
210,Sphaeriidae,6
211,Sphaerodoridae,1
212,Sphaeromatidae,3
213,Sphaeromatidea         ,1
214,Spionidae   ,22
215,Squillidae,1
216,Stenothoidae,3
217,Stylochidae,1
218,Syllidae   ,18
219,Tanaidae,1
220,Tellinidae   ,6
221,Terebellidae,11
222,Terebridae,1
223,Tetrastemmatidae,1
224,Travisiidae,1
225,Tubificidae,4
226,Turridae    ,2
227,Unciolidae,4
228,Unionidae,2
229,Upogebiidae,1
230,Valvatidae,2
231,Venerida   ,3
232,Viviparidae,6
233,Xanthidae,1
234,Yoldiidae ,1
235,carinomellidae,1
