,LBL,Count
0,ablabesmyia mallochi,1
1,ablabesmyia parajanta,15
2,abra aequalis,18
3,acanthohaustorius intermedius,5
4,acanthohaustorius millsi,47
5,acentria ephemerella,1
6,acteocina canaliculata,1275
7,aglaophamus verrilli,122
8,agraylea spp.,4
9,aligena elevata,92
10,almyracuma proximoculi,21
11,alpheus heterochaelis,2
12,amastigos caperatus,21
13,americamysis almyra,48
14,americamysis bigelowi,150
15,americamysis spp.,10
16,americhelidium americanum,30
17,ameroculodes species complex,390
18,amnicola limosa,3
19,amnicola spp.,1
20,ampelisca abdita,143
21,ampelisca spp.,477
22,ampelisca vadorum,35
23,ampelisca verrilli,288
24,ampharetidae,2
25,amphipoda,3
26,amphiporus bioculatus,169
27,ampithoe longimana,1
28,ampithoe valida,5
29,ampithoidae,1
30,amygdalum papyrium,10
31,anachis avara,10
32,anachis obesa,120
33,anadara ovalis,8
34,anadara transversa,35
35,ancinus depressus,5
36,ancistrosyllis commensalis,1
37,ancistrosyllis hartmanae,94
38,ancistrosyllis jonesi,40
39,ancistrosyllis spp.,4
40,ancylidae,1
41,anomia simplex,1
42,anthozoa,58
43,apocorophium acutum,2
44,apocorophium lacustre,501
45,apocorophium simile,3
46,apocorophium spp.,2
47,apoprionospio pygmaea,108
48,arabella iricolor,3
49,arbacia punctulata,1
50,arcuatula papyria,73
51,aricidea catherinae,12
52,aricidea cerrutii,22
53,aricidea fragilis,1
54,aricidea spp.,1
55,aricidea wassi,28
56,asabellides oculata,60
57,ascidiacea,4
58,asellus spp.,1
59,astyris lunata,15
60,aulodrilus pigueti,55
61,autolytus spp.,1
62,axarus spp.,3
63,baetidae,3
64,baetis spp.,2
65,balanoglossus aurantiacus,9
66,balanus improvisus,85
67,balanus spp.,2
68,barnea truncata,12
69,basommatophora,1
70,batea catharinensis,10
71,bathyporeia parkeri,1
72,bellamya japonica,1
73,bezzia spp.,3
74,bhawania heteroseta,152
75,biffarius biformis,6
76,bivalvia,32
77,boccardiella hamata,1
78,boccardiella ligerica,117
79,boonea impressa,2
80,brachyura,6
81,branchiodrilus spp.,1
82,branchiostoma caribaeum,200
83,branchiura sowerbyi,141
84,brania clavata,38
85,brania wellfleetensis,121
86,bratislavia unidentata,1
87,busycon canaliculatum,1
88,busycon carica,1
