LBL,SUM,MEAN,COUNT
ablabesmyia mallochi,0.03791,0.03791,1
ablabesmyia parajanta,0.018000000000000002,0.0012000000000000001,15
abra aequalis,0.047,0.002611111111111111,18
acanthohaustorius intermedius,0.005,0.001,5
acanthohaustorius millsi,0.132,0.0028085106382978726,47
acentria ephemerella,5e-05,5e-05,1
acteocina canaliculata,1.93681,0.0015190666666666667,1275
aglaophamus verrilli,1.566,0.012836065573770492,122
agraylea spp.,0.00045,0.0001125,4
aligena elevata,0.10565000000000001,0.0011483695652173913,92
almyracuma proximoculi,0.00615,0.0002928571428571429,21
alpheus heterochaelis,0.052000000000000005,0.026000000000000002,2
amastigos caperatus,0.03605,0.0017166666666666667,21
americamysis almyra,0.0211,0.00043958333333333333,48
americamysis bigelowi,0.1084,0.0007226666666666666,150
americamysis spp.,0.0021,0.00020999999999999998,10
americhelidium americanum,0.03,0.001,30
ameroculodes species complex,0.2555,0.0006551282051282052,390
amnicola limosa,0.02265,0.00755,3
amnicola spp.,0.0001,0.0001,1
ampelisca abdita,0.06905,0.0004828671328671329,143
ampelisca spp.,0.5461,0.0011448637316561845,477
ampelisca vadorum,0.0339,0.0009685714285714286,35
ampelisca verrilli,0.609,0.0021145833333333333,288
ampharetidae,0.00015000000000000001,7.500000000000001e-05,2
amphipoda,0.003,0.001,3
amphiporus bioculatus,0.0456,0.0002698224852071006,169
ampithoe longimana,0.001,0.001,1
ampithoe valida,0.011,0.0021999999999999997,5
ampithoidae,0.001,0.001,1
amygdalum papyrium,0.0204,0.00204,10
anachis avara,0.034,0.0034000000000000002,10
anachis obesa,0.228,0.0019,120
anadara ovalis,2.172,0.2715,8
anadara transversa,1.067,0.030485714285714283,35
ancinus depressus,0.005,0.001,5
ancistrosyllis commensalis,0.001,0.001,1
ancistrosyllis hartmanae,0.0961,0.0010223404255319149,94
ancistrosyllis jonesi,0.061,0.0015249999999999999,40
ancistrosyllis spp.,0.0033,0.000825,4
ancylidae,0.001,0.001,1
anomia simplex,0.001,0.001,1
anthozoa,0.2721,0.004691379310344828,58
apocorophium acutum,0.002,0.001,2
apocorophium lacustre,1.4701,0.002934331337325349,501
apocorophium simile,0.003,0.001,3
apocorophium spp.,0.002,0.001,2
apoprionospio pygmaea,0.167,0.0015462962962962965,108
arabella iricolor,0.011000000000000001,0.003666666666666667,3
arbacia punctulata,0.001,0.001,1
arcuatula papyria,0.14035,0.0019226027397260274,73
aricidea catherinae,0.016,0.0013333333333333333,12
aricidea cerrutii,0.022,0.001,22
aricidea fragilis,0.001,0.001,1
aricidea spp.,0.001,0.001,1
aricidea wassi,0.031,0.001107142857142857,28
asabellides oculata,0.061,0.0010166666666666666,60
ascidiacea,0.0007000000000000001,0.00017500000000000003,4
asellus spp.,0.001,0.001,1
